"symbol","page?","name","t","p","p_corr","var_explained","var_sd"
"AK2","204","adenylate kinase 2",-6.04940948885766,0.00177955499110105,0.0138805289305882,2.19128643137031,1.82654971283299
"AK3L1","205","adenylate kinase 4",-1.09912847961964,0.321796344603413,0.45014674396172,1.92672146600609,1.66687856869952
"AKT1","207","v-akt murine thymoma viral oncogene homolog 1",1.93912252722617,0.110194652088146,0.205842580244096,0.519965619513025,0.849725514435684
"AKT2","208","v-akt murine thymoma viral oncogene homolog 2",2.8443503644903,0.0360618737075505,0.0945524054678321,1.09368498636876,1.14441740260382
"ALAD","210","aminolevulinate dehydratase",-1.50158317162435,0.193509802814225,0.30997058419506,1.71213212599914,2.60988021977046
"ALAS1","211","aminolevulinate, delta-, synthase 1",1.30089323688085,0.250017667029677,0.374945331833626,0.682138780920158,0.643264733438824
"ALAS2","212","aminolevulinate, delta-, synthase 2",-5.68822981290368,0.00234090667888889,0.0161770037014838,0.636925439315368,0.563286654742214
"ALB","213","albumin",-3.75666746183405,0.0132027346440959,0.048064724112862,0.387342747803085,0.333212644659511
"ALCAM","214","activated leukocyte cell adhesion molecule",-2.35145163286236,0.065442018579954,0.14236977919639,1.05255649123615,1.37760939616662
"ABCD1","215","ATP-binding cassette, sub-family D (ALD), member 1",-3.12298891048443,0.0261637278790301,0.0758551150667413,0.425781140617137,0.432142797878023
"ALDH1A1","216","aldehyde dehydrogenase 1 family, member A1",-6.51349122273331,0.00127458315708242,0.0114596713175918,1.1592560864189,0.817123730423361
"ALDH2","217","aldehyde dehydrogenase 2 family (mitochondrial)",-0.551598238106211,0.604967913120844,0.707918712567158,1.52088763404768,2.12234958226325
"ALDH3A1","218","aldehyde dehydrogenase 3 family, member A1",1.24270973832872,0.269074425420112,0.395590217215352,1.37257370820557,1.27382965813663
"ALDH1B1","219","aldehyde dehydrogenase 1 family, member B1",-1.52132829208434,0.188662016598288,0.303985531278863,1.36564094971411,2.55471196640782
"ALDH1A3","220","aldehyde dehydrogenase 1 family, member A3",1.31086585597024,0.246878416564031,0.371282133201889,0.3465748964364,0.70188421986944
"ALDH3B1","221","aldehyde dehydrogenase 3 family, member B1",-5.13094804963482,0.00367315355383234,0.0212566377849423,1.41847072364504,1.11413140552309
"ALDH3B2","222","aldehyde dehydrogenase 3 family, member B2",-1.32127353360112,0.243641067036911,0.367610282390671,1.35191427263225,2.49922023016486
"ALDH9A1","223","aldehyde dehydrogenase 9 family, member A1",-2.64397786535571,0.045756635673222,0.110899161166501,2.0740236055121,2.25947686561988
"ALDH3A2","224","aldehyde dehydrogenase 3 family, member A2",-0.342734100529427,0.745737194979954,0.821496506202878,0.478704093732355,0.489944444434999
"ABCD2","225","ATP-binding cassette, sub-family D (ALD), member 2",-0.869427938694826,0.424375088453085,0.549830775596751,0.633675040435253,0.692909369599258
"ALDOA","226","aldolase A, fructose-bisphosphate",-4.3533766211373,0.007335839269178,0.0326531243872384,1.18529211209786,1.07310837900208
"ALDOB","229","aldolase B, fructose-bisphosphate",-4.44561265386112,0.0067296842900988,0.0309491033934256,2.76118514923791,2.58086414148316
"ALDOC","230","aldolase C, fructose-bisphosphate",-3.72325548808246,0.0136659860920477,0.0492652078312461,1.66232973433877,1.31605558016616
"AKR1B1","231","aldo-keto reductase family 1, member B1 (aldose reductase)",-3.05691666528761,0.0282009515089885,0.0798764380729452,2.03907359655986,1.76769801891533
"ALK","238","anaplastic lymphoma receptor tyrosine kinase",-0.195427542541385,0.852751816899601,0.899393780399412,0.637101613286284,0.632371579122922
"ALOX12","239","arachidonate 12-lipoxygenase",0.176630521244143,0.866730267133665,0.909751669506539,0.768564634023972,0.737914216004158
"ALOX5","240","arachidonate 5-lipoxygenase",-17.2839439938413,1.18751263511641e-05,0.00132771556179357,4.04895247601712,1.109973341882
"ALOX5AP","241","arachidonate 5-lipoxygenase-activating protein",-6.06231369276426,0.00176263387379972,0.0137814250269248,3.07291920976849,2.37748575991712
"ALOX12B","242","arachidonate 12-lipoxygenase, 12R type",0.523482739646126,0.623002333524293,0.72251447818397,0.388172871474163,0.45173047874797
"ALOX12P2","245","arachidonate 12-lipoxygenase pseudogene 2",6.26835205156882,0.0015165269714493,0.0126146643279378,1.53675253732112,1.24196472954325
"ALOX15","246","arachidonate 15-lipoxygenase",-0.265381234625242,0.801309787110789,0.863005405661584,0.541785856937504,0.968933429342267
"ALOX15B","247","arachidonate 15-lipoxygenase, type B",-4.17352774191495,0.00870927271131399,0.0363898797688611,2.04765606612298,2.207109246411
"ALPI","248","alkaline phosphatase, intestinal",1.54485618124076,0.183039358856788,0.29716019623212,0.387605533977968,0.563980107987963
"ALPL","249","alkaline phosphatase, liver/bone/kidney",1.26876968376358,0.260380869210498,0.386058283044124,0.54661216197093,0.60942038454524
"ALPP","250","alkaline phosphatase, placental",-2.67125177607241,0.0442819855984487,0.108382154083946,1.04387243741794,1.22988292430803
"ALPPL2","251","alkaline phosphatase, placental-like 2",-2.20582410061435,0.0785160387600834,0.162189495946125,0.280803358231739,0.369367098960418
"ALX3","257","ALX homeobox 3",0.366435516278837,0.729035085935469,0.808323678863911,0.145754127853293,0.107537417388228
"AMBN","258","ameloblastin (enamel matrix protein)",-2.02464016276228,0.0987839492791603,0.19020210760151,0.451891625023774,0.462160171647154
"AMBP","259","alpha-1-microglobulin/bikunin precursor",-0.848048595242352,0.435117850447227,0.559668012947621,0.771157499109379,0.709211384229441
"AMD1","262","adenosylmethionine decarboxylase 1",-0.414596859907196,0.695624782082709,0.781703554176304,0.852260823849588,1.02343761794326
"AMELX","265","amelogenin, X-linked",1.07904021622394,0.329849540050408,0.458133194927468,0.539967733352546,0.660314825968717
"AMELY","266","amelogenin, Y-linked",-0.995161924933369,0.365348267134334,0.493469423581638,0.738584119445544,1.09712130098082
"AMFR","267","autocrine motility factor receptor, E3 ubiquitin protein ligase",-0.88570369025787,0.416335009323626,0.542592842558635,0.815138497983937,1.3283657439249
"AMH","268","anti-Mullerian hormone",3.52308023955614,0.0168636417625889,0.0565850720450258,0.89366030076586,0.779415359884617
"AMHR2","269","anti-Mullerian hormone receptor, type II",0.615647588081022,0.565067834059082,0.674147347928663,0.488726707415998,0.395283235460499
